User-ID,ISBN
188593,0553148001
184532,0671739433
198711,0394588320
67079,0099547104
23902,037550169X
235392,1853260150
55006,0425180638
104414,0679440798
115759,0525934030
11629,0515103454
252734,156584100X
102967,0590568744
204864,0880015403
66984,0060196750
158314,0441569587
94242,8488342152
171118,0451628217
50550,0446600709
103803,3453871049
50216,0028604199
275933,0743428625
35859,0812525124
23872,0130112887
77809,0964929600
4138,1573227331
230522,0812520920
91692,031600071X
198625,0743418220
228544,0449149080
142745,0142800821
187145,0745940323
152973,3446160116
226945,0969287313
135265,0373764847
232736,044100797X
172742,0671470213
35859,0380761319
23768,0345439511
229928,0515126098
55492,0380725258
242106,0684853523
51974,3423128399
168245,0380756293
16943,0553569155
198711,0380767627
69971,0312951469
129358,0373292031
100783,0373484909
36836,0812522729
212898,0688064752
23902,3895089346
182079,0099245027
275970,1853260010
248718,0425122123
30276,0451210646
277639,0373241771
92142,0753804700
83230,0156007185
254465,0515132403
86408,0446805580
171118,043910842X
128208,0446612790
138440,9053330283
35407,3426617277
203799,0743509609
174830,0671246925
175052,0449219143
26535,037326058X
153723,0821770411
246513,0609804138
11150,0006175015
204864,0684853949
23768,1551664933
165574,0670891770
50206,0312039050
84882,0743422007
264657,0811201880
95923,0026045702
20115,0676902154
60244,0688170528
251422,0965605914
278346,0345425286
254299,0609807099
15459,0451191153
167621,0671867172
6432,0812510488
150124,081291242X
266865,055357535X
106007,0061056219
11944,0446673544
166123,0151005613
38933,0066211743
65792,0670865796
124942,0440213525
107021,0452283795
211231,033002115X
35859,0671568086
270713,061808360X
139243,0553375407
98391,031228442X
248477,0060288140
190925,0446610550
102676,0060183071
263460,0915811367
136363,3150097282
236757,0743426819
85757,0062510258
61619,0375724575
168215,0330485385
204591,0553584383
203280,0553271636
135043,0671024094
261641,8804471905
170229,0679746315
139387,0394574745
263460,0373037171
83214,0061000299
229011,0515126772
231893,0380728184
32440,0671042793
43912,0849937159
148898,0912500255
40796,0515126985
272300,0060974915
117210,1563891336
89602,0449214176
33958,0394729277
56959,0453008178
169663,0743242203
98433,0140620508
122658,0440234743
131675,9044920979
200674,080411918X
133034,0582526531
74328,0684864223
52614,0380810484
205963,0345384784
138543,0060393823
